text,intent,urgency,department
Logout and login again it should be OK.,login,medium,ict_support
Anyone else whose dashboard is appearing like this (first badge showing OVC - ACTVE / EVER REGISTERED and not showing POPULATION - GIRLS / BOYS) please share the screenshot.,genderissues,medium,case_management
What do I go about it?,help,low,general
Logout and login again it should be OK for you others something must be edited first.,login,low,ict_support
"Hello, can this (ONLINE CHILD EXPLOITATION) case be reported to CPIMS",greeting,low,general
Yes that case category exists.,help,low,general
Hello ........I need for assistant my account is locked,accountunlocking,medium,ict_support
Kindly assist me with the link I reset my device yesterday,notAbleToReset_Password,medium,ict_support
Link ya live system,LiveSystem,medium,ict_support
Please kindly reset: Username; zathumani,notAbleToReset_Password,medium,ict_support
Please me me the link to live system,LiveSystem,medium,ict_support
Please tell me is this complete??and if not how do I go about it?,systemfunctions,low,ict_support
"Morning, Keep on refreshing the page. And if forgotten you password use the forgot password functionality.",passwords,low,ict_support
Send your user name,help,low,general
How come now everyone account is getting locked? In the meantime just relax we will be engaging you either at the sub county and some select CCIs to sort out these issues. Regards.,accountunlocking,medium,ict_support
It's not....you have done CRS but you have not admitted any to ua CCI that's why at population you have 0/0,Admission,medium,data_registry
How do I undo double entry,systemfunctions,medium,ict_support
Which section of the system?,help,low,general
Send me the screenshot where the double entry is. The system does not allow double admission hence I need to get some more info.,Admission,medium,data_registry
The same problem sir. Kindly check nos. 24 and 25.,help,low,general
Check the placement dashboard and share the same.,help,low,general
The dashboard was showing 35 instead of 34 then I discharged Irene with Cpims Id 3863444 to get the correct figure as per the dashboard now. I don't know if I did the right thing sir. Kindly advice.,ChildDischarge,medium,case_management
Sorry for the cup appearing on the screen,help,low,general
That is 34 which is correct. The other Case records dashboard you were showing will always have multiple records.,Recordassess,medium,data_registry
"Am humbled sir for your help. I have noticed when am trying make follow up for this kid Irene the system indicated that she is discharged, kindly how can I deal with this sir.",ChildDischarge,medium,case_management
Now this is a user problem. You need to delete one in the persons registry.,delete,low,data_registry
Kindly advice on this sir,help,low,general
Done successfully,help,low,general
What is the CPIMS ID?,help,low,general
Kindly remind me how to generate an already filled case record sheet.,Recordassess,medium,data_registry
This is the Cpims no,help,low,general
Are you following up on the one you have already exited?,help,low,general
Yes sir because when am searching the system gives me only 1 Irene who has been already excited.,help,low,general
"No worries,am sorted",help,low,general
"Kindly assist,my dash board does not show the population",Population,medium,data_registry
"Hi Beatrice,in the organization unit,there is a question asking provide service to ovc , your sub_county officer should click No , instead of yes that's why your dashboard is not showing the population.",Population,low,data_registry
It is corrected. Logout and log in again it should be OK.,login,medium,ict_support
Which CCI is this?,help,low,general
This was sorted out.,help,low,general
Hello......I need assistance.....kutoa mtoto kwa system,greeting,low,general
Kwa nini unataka kutoa mtoto kwa system?,help,low,general
Azin if umemjaza mtoto two times,help,low,general
Give me the CPIMS ID of the child I confirm most of us we keep going to the Child/OVC dashboard instead of the Institution placement that does not report duplicates.,recurringcases,low,case_management
"Plz 0702279878 can you add this number, she is our new social worker for now, Barnabas Children Home",help,low,general
"Hellow morning, I need help my account got locked",accountunlocking,medium,ict_support
Your username is ezawadi and I can see you trying to login using ekenga. If you have forgotten password reset usig the set email address lizzykenga@gmail.com,Emailaccess,medium,ict_support
"Also share with me the screenshot of your dashboard so that I can help you sort out your population. Please make sure you are following all the process for registrering children data, doing case record sheet and doing institution placement.",Recordassess,medium,data_registry
"Am still using the same username and password bt it doesn't open up, I tried to use the email to reset bt it gives me errors",passwords,medium,ict_support
Check again. Its been over 90 days since last login.,login,medium,ict_support
"Dear All, please find the above CPIMS user manual guide, you can also access the same in audio form from the learning portal. learning.childprotection.go.ke.",usermanual,low,training_admin
Our adm plz if possible add this no 0702279878 to this group,help,low,general
"Morning all, kindly take note that you can be able to reset your passwords using the functionality highlighted above and follow the instructions given thereafter. however for those who have not used the system for over three months or those who can remember the email used when creating the account can contact their supervisors or the admni.",passwords,low,ict_support
Wah...for those who have not used the system for 3months‍‍,help,low,general
Just incase there is any.,help,low,general
"*Apply For The Youth Empowerment Fund Provided By The Government. Hurry Up, It takes few seconds to apply. Dont miss this opportunity.*",help,low,general
I have a problem with my password,passwords,medium,ict_support
"Morning my colleagues! I know we can only talk about CPIMS in this group but am so concerned about what out brother Mr. Kagwe said that no one is to be forced to take jabs but he put it in a way that on 21st of this month no one can be able to board a plane, train, bus, mat e.t.c. without getting a jab and so my concern is that our county officers do they have a plan for us all workforce staffs in the CCI's and the directors cause we are so many in Mombasa and I thought it would be a good idea if at least it could organised by our county officers brothers/sisters we would get the jabs to all CCI's homes to homes before the 21st koz itafika mahali I need to be maybe in court, or take a child to hospital, or to visit offices of the government and am told I can't get any service without a certificate certifying that av been injected.... My colleagues i hope munanipata hii issue so mchezo...",SiblingsInfomation,medium,case_management
"These jabs are readily available (no queue at all) at Coast general, Shimo la Tewa clinic, Jocham etc. I urge every person to take person responsibility to get themselves vaccinated. Considering the logistical implications. I can only assume only a few individuals are yet to get the jab so far.",help,low,general
Yes Maina I get you.... Can't it be possible just as the way the government staffs take deworming and vitamin for the small children at homes,help,low,general
"But staff in CCIs are not small children nor do they stay there permanent, then a school has many children to warrant health officers to reach out many verses a CCI with less than 10 employees....watu wasiogope hii chanjo muhimu",greeting,low,general
Poa! I was asking as individual ndio nijue and Thank you for the advice..... Blessed day,thanks,low,general
Kindly note tomorrow at Shanzu Chief's office there will be Covid 19 vaccination drive,help,low,general
"Hallo Kindly assist,my account is locked. Username - pmillicent",accountunlocking,medium,ict_support
What is your email address?,Emailaccess,medium,ict_support
Use email to reopen,Emailaccess,medium,ict_support
pabwaoh@gmail.com,Emailaccess,medium,ict_support
Email details updated in the system. Use forgot password functionality to reset your password.,upda,medium,data_registry
"Hello Everyone , i have a qstn, if you stay long without loging in CPMIS then the password is no longer, how can i reactivate it?",passwords,low,ict_support
Till they activate your account,ActivateDeactivate-account,medium,ict_support
Just contact the incharge,help,low,general
*BREAKING NEWS*‼,help,low,general
*UNITED STATE GOVERNMENT JOB RECRUITMENT 2022*,help,low,general
* SHELL OIL AND GAS JOB RECRUITMENT 2022*,help,low,general
I also have that problem.... will communicate with our officer,help,low,general
"Happy new month... Hallo, Kindly assist,my account is locked. Username - pmillicent",accountunlocking,medium,ict_support
Dear all we will be doing technology upgrade on CPIMS functions that has been recently finalised.This implies that we will not be able to access the live system on 19th November 2022 please bear with us.This activity is to enhance CPIMSTechnology upgrade from python 2.7 to 3.10 and Django framework from 1.8.5 to 4.1,systemAcess,low,ict_support
Mtu yoyote ameskia vacant ya kazi yoyote Mombasa please update me,upda,medium,data_registry
The Children Act 2022-1.pdf (file attached),help,low,general
"Good morning Officers, for all purposes of trainings either to the CCI's or any new officers within your organization units, you are requested to use the Test system ( test.cpims.net) but not the live system. For any assistance with the system please contact HQ CPIMS team.",LiveSystem,low,ict_support
Basic agreed on rule of the group for a peaceful coexistence is that we only share CPIMS related posts in this group nothing else.,help,low,general
Thank you for the add,thanks,low,general
"OK will check again later, we've lost power anyway",help,low,general
Hello CPIMS team. Your modems have been topped up with 3GB data bundles. Kindly each of you to confirm receipt. The last bundle top up from MEASURE Evaluation PIMA will be in August 2017.,greeting,low,general
Ngolo and Joshua my account is locked. Have not been on net for a while.,accountunlocking,medium,ict_support
Please unlock Japheth lumbasi kabete rehabilitation school,accountunlocking,medium,ict_support
Password has been reset. Welcome,passwords,low,ict_support
Thanks for bundle. We received.,thanks,low,general
Please unlock Elizabeth Ndirangu at Nairobi Children's Remand Home,Childreninremand,high,case_management
Team Nairobi this is to inform you sadly of the passing away of Mr Mwauras brother following a brain surgery. Mwaura has been supporting DCS in the development of CPIMS. Kindly let's condole with him. Thsnks,SiblingsInfomation,low,case_management
This is very sad. Mwaura has given his brother all the support he could give but sadly the Lord opted for an earlier exit from this world. Mwaura you have us in prayers. May the good Lord continue to give you strength and courage in these trying times. We are together in all this.,SiblingsInfomation,low,case_management
"My heartfelt condolences Mr.Mwaura, May the Almighty God provide strength and comfort for your family in this trying time.",help,low,general
My condolences to yu Mwaura and the family. May the Lord's peace and comfort be your portion this trying moment.,help,low,general
My condolences to you Mwaura and the family.May God comfort you at this time of sorrow.,help,low,general
My condolences to you Mwaura and the entire family may God's Grace and peace be sufficient,help,low,general
My condolences to Mr Mwaura and your family. May God give you strength and peace during this difficult moment,help,low,general
Poleni Sana Mwaura and family. May God comfort you at this time.,help,low,general
Pole sana for the loss.,help,low,general
My condolescence to Your family Mr Mwaura.May the Lord comfort ur entire family,help,low,general
Bwana Mwaura na familia nzima Mola wetu awape nguvu na amani mioyoni muhimili majonzi kwa kumpoteza mpendwa wenu. Mola hutupatia na wakati apendapo huchukua. Tulimpenda ndugu yetu lakini Mungu alimpenda zaidi.,help,low,general
May Jesus be your strength brother Mwaura n give u the best shoulder to lean on always n especially now to overcome your grief.,SiblingsInfomation,medium,case_management
Ooh pole sana Mwaura may the Almighty rest his soul in eternal peace,help,low,general
Our condolences to the entire family.may his soul rest in eternal peace.,help,low,general
Sincere condolences bwana Mwaura,help,low,general
Pole sana mwaura,help,low,general
"My heartfelt condolences to Mwaura and family for the untimely loss, may the lord grant you strength during this trying moments",help,low,general
Dear all am sure your aware of the passing on of Mr Mwauras brother following a brain surgery. This is to further inform you that the burial will take place on Saturday 22nd July at gatanga sub county kuhumbuini location mukurwe thuita sublocation. Body will leave kenyatta university funeral home at 9am.Derrick Cheburet is in charge of contributions for the Mr Mwauras late brother. Transport arrangements are being made with Mr Ondogos guidance for those to attend the burial on Saturday.,SiblingsInfomation,low,case_management
"Admin, please add SOS Children's village staff Nairobi: Fredrick Ochieng 0722862061 and Saitoti 0723 819958",help,low,general
"Welcome SOS staff, the forum is for CPIMS related issues and queries forwards and posts NOT RELATED to CPIMS are not welcome",help,low,general
Thank you so much for the warm reception,thanks,low,general
My password is locked and kindly request that it be reset. Thank you,accountunlocking,medium,ict_support
Pls activate Ann Dagoretti,ActivateDeactivate-account,medium,ict_support
Please unlock Nancy Waswa Nairobi Children Rescue.,accountunlocking,medium,ict_support
Please unlock javason saitoti from sos children's village,accountunlocking,medium,ict_support
I have also not been unlocked. Please unlock Fredrick Ochieng,accountunlocking,medium,ict_support
"Wow, thanks for the prompt response @254723637563",thanks,low,general
Karibu sana @Loyce and Team Nairobi. Good evening to all you good people.,greeting,low,general
Morning trust you are well. My question to the programmers.. Now that we have tool A and B for each constituency Will also create or give us mandates over administrative unit like in my ​case Mathare which now will generate it's own serial number since we have been combining all the cases in Starehe as the unit kindly advise thanks,sheets,low,data_registry
"Hi, some help here......this Excel tool I've received still reads 2016, I thought it should be 2017 now... ?",sheets,low,data_registry
"Loyce, the excel tool should read 2017/18. Please check your mail again.",sheets,low,data_registry
Eh Loys. Looks like Derrick and Mbai wamezembea kazini... Anyway they are many subcounties one may slip through. I will check with him,greeting,low,general
Tool A should still be the same,sheets,low,data_registry
Brenta that was an oversight on your part. You should have separate tools for each subcounty that you serve.,help,low,general
Curiously... Why are users still being locked out of CPIMS?,accountunlocking,medium,ict_support
Hi i request Joshua to visit our office on Wednesday next week for clarification so that we can do the right thing. @J kindly confirm when you can visit Starehe good day,greeting,low,general
"Hi Joshua, I have downloaded and rechecked even some of the other sub counties and still 2016",greeting,low,general
Thanks Joshua we have talked,thanks,low,general
Noted. We should take advantage of remote support using TeamViewer for quick assistance,thanks,low,general
Haya Joshua kazi kwako,help,low,general
"Am sorted, thanks Joshua.",thanks,low,general
Kindly let me know the expiry date for bundles,help,low,general
3rd August. If you have bundles to roll over then top up with 250 by 1st August to extend by another 30 days,help,low,general
I have done the bundles,help,low,general
Nairobi County confirm receipt of 3GB data bundles for the month of August 2017,help,low,general
Remember this a forum for cpims related issues. Ana aje Loys?,help,low,general
Yes please. That's irrelevant to our group.,help,low,general
Watembo thanks for bundles. Is it the last one ama?,thanks,low,general
You people should ask Wanjau whether he meant posting the Mzee here or it was by mistake.,help,low,general
It was a mistake have a new phone that is a challenge it keeps on sending calls messsges i rarely send messages i dont even know,ChallengesOfStaff,medium,training_admin
Pole it happens!,help,low,general
Loise I think the profile photo should change en have a dashboard instead the sisal en CPIMS🤔🤔🤔,photos,low,data_registry
I thought they were pineapples..,greeting,low,general
Hi Team! kindly check your emails. Thanks,Emailaccess,low,ict_support
"Sorry, is not meant for this team. I appologise",help,low,general
Did and answered the questionnaire,help,low,general
"Hi IT team, somebody set cmueni",greeting,low,general
My a/c is locked,accountunlocking,medium,ict_support
Kindly IT team I once again request for a reset of cmueni,notAbleToReset_Password,medium,ict_support
"Morning team, Kindly reset Romolo.",notAbleToReset_Password,medium,ict_support
Kindly set ckirui too,help,low,general
"Dagoretti Girls rehabilitation, not yet received the bundles",genderissues,medium,case_management
Clara.... it's time almost to renew bundles jameni. When asked to confirm kindly do so within 2 working days,help,low,general
"I had put some bundles and more so, I have been using Airtel internet",help,low,general
Ok. PIMA only supplies Safaricom to the official line,help,low,general
"It's OK Mr Watembo, it's the safaricom line which I was talking about not the airtel one",help,low,general
"Spinya is locked out ofcpim I need to enter data,help",accountunlocking,medium,ict_support
spinya is reset.,notAbleToReset_Password,medium,ict_support
My account also requested for account password reset am wondering coz its seems like it did so to many,passwords,medium,ict_support
Passwords expire after 3 months. That's the policy. Remember you cannot use any of your last 3 pasdwords,passwords,medium,ict_support
"Loyce, now tell us",help,low,general
"A wrong is just a wrong this is not about me it's not my rules, the authors of this group set the rules on inception, I simply enforce. This is NOT a forum for forwards it's only CPIMS issues we have many others forums for such.",help,low,general
"@254721935079 don't post such in this forum, observe our simple rule of engagement CPIMS ONLY",help,low,general
Post the rules here Loyce.,help,low,general
There's just one basic rules this is a group for CPIMS ENGAGEMENT AND NOT 'OTHER' FORWARDS,help,low,general
"However, I seem to be the only always reminding us of this basic rule, being that the membership is over 50% new I propose we agree on new rules of engagement as well a new admin I don't wish to be almost always offending members.",help,low,general
Leaders don't quit. You can remove those who persistently post irrelevant materials.,help,low,general
We are team Nairobi. Let's continue to work together as a team and support our admin implement that simple requirement please. Thanks you and blessed day,thanks,low,general
Just noted that am one of the admins. Now everybody follow rules. NO POSTING OF NON-CPIMS OR NON-ICT POLICY MATERIALS.,thanks,low,general
Am trying to create an a/c for a person n its refusing,help,low,general
Kindly reset ckyalo,notAbleToReset_Password,medium,ict_support
That's true! So Loys don't b tired of reminding us. You know at times we are so eager to pass a good message and forget the rules of the forum,help,low,general
ckyalo not yet reset,notAbleToReset_Password,medium,ict_support
totally agree we have a lot in CPIMS that we can share like do you know we can monitor our daily performance and see how we are competing with other counties we don't have to wait until during recognition that we know who is the best,help,low,general
I have reset ckyalo..,notAbleToReset_Password,medium,ict_support
"Transfer norah ondiek from getathuru,Robbert mule from machakos,Francis irritating from muranga and John nderitu from nderitu to kabete rehabilitation school",help,low,general
Oh so sorry. It happened accidentally! By a click of a button and it was gone!!!!!!!!!,help,low,general
Please reset mtsuma,notAbleToReset_Password,medium,ict_support
"I need to log in for data ,am locked out",accountunlocking,medium,ict_support
Kindly reset pombasa,notAbleToReset_Password,medium,ict_support
Kindly reset pinya ncpc,notAbleToReset_Password,medium,ict_support
Kindly reset akangethe cpc,notAbleToReset_Password,medium,ict_support
We have not received any information about it.,thanks,low,general
Please fill the survey in the link attached in this message.,DataEntry,low,data_registry
Please advise on who u have received we can easily know coz I know I filled en most probably it didn't get to you,thanks,low,general
Which sub county or institution,help,low,general
It was successful.,help,low,general
maggieimunde@yahoo.com,help,low,general
These are the responses we have received from Nairobi County.,thanks,low,general
Mine refused to open. Will try again tomorrow,help,low,general
"If the link asks for permissions ,please request and you will be assisted.",help,low,general
"Guys av registered a case, done record sheet n wen I try to follow up it, there is no record!!!! I don't understand",Recordassess,medium,data_registry
Do you see the case record check that first if it's there use the three names sometimes two names do not show results if u used three names to register the child,Recordassess,medium,data_registry
Congratulations on your new assignment indeed was a pleasure working with you. All the best.,help,low,general
Congratulations and thank you for the support we will really miss. Wishing you God's favor as you take over your new assignment.,thanks,low,general
Congrats Ngolo it nice working with you. I pray for God's favor wherever you go,help,low,general
We wish you the very best as you take up your new assignment.,help,low,general
Kindly reset cmeres,notAbleToReset_Password,medium,ict_support
Congratulations and thank you for the support .,thanks,low,general
Congratulations are in order even as you take up your new assignment. Your services will be missed. I wish you the best in your new station,help,low,general
Who is DMK pls. All the same congrats,help,low,general
Am yet to do so but will also transferring my services to the Ministry of transport and Infrastructure state of department housing and urban development very soon.Of importance is that i will be available for any assistance and cosultalion any time to ensure smooth transition .,payments,medium,training_admin
Kwani mwaenda wote? 🤔,help,low,general
"All the best to you too, it was a pleasure to have worked with you. Pioneers.",help,low,general
Wishing you all the best in the new assignment may you carry over the good work and don't forget home,help,low,general
All the best to Ngolo and Mwaura in your new stations and thanks for your good work,thanks,low,general
Kindly reset ckyalo,notAbleToReset_Password,medium,ict_support
Do not reset it accepted after 15 mins,notAbleToReset_Password,medium,ict_support
Wanjau you risk being removed from this site.,help,low,general
Hi Joshua pls reset penina,notAbleToReset_Password,low,ict_support
Its not intentional,help,low,general
Gd evening...Transfer Vincent Makori Cpims account from Kisumu Rehabilitation school to Getathuru national Reception centre new station,createcpmisaccounts,medium,ict_support
@254722164898 Add 0726796066 to this cpims forum,help,low,general
Done. I realize he didn't even have an account,help,low,general
"He is from kisumu rehab school , Mr. Naam is one who created his account",help,low,general
@ Joshua. U were to sent the excel sheet which has no issues!!!!,sheets,low,data_registry
Sorry Calvince. Will send by 930am today.,help,low,general
Hi Joshua pls resent Margaret wambui,greeting,low,general
Nairobi County confirm receipt of 3GB data bundles for the month of September 2017. Please note that PIMA will provide the last airtime by 30th September to cover for October 2017.,help,low,general
Received i have enough to use till Dec,thanks,low,general
Dagoretti Girls not yet received bundles,genderissues,medium,case_management
Makadara received,thanks,low,general
Kasarani pia bado,help,low,general
Hi Joshua pls reset Margaret Westlands,notAbleToReset_Password,low,ict_support
The internet connection is good,help,low,general
Are you still having problems with access - I have connected without any issue,systemAcess,medium,ict_support
Still not connecting will try later on.,help,low,general
I have connected restart ua machine,help,low,general
"Still having challenges accessing the CPIMS, kindly reset for me and Javason Saitoti",notAbleToReset_Password,medium,ict_support
fochieng and jsaitoti reset.,notAbleToReset_Password,low,ict_support
Thank you very much Joshua,thanks,low,general
Please reset Veronica njiri,notAbleToReset_Password,medium,ict_support
Transfer Mary Kazee from Nairobi Remand to Machakos remand and reset please,notAbleToReset_Password,medium,ict_support
Pls unlock nnjuguna account,accountunlocking,medium,ict_support
Pls admin add 0723374375 dagoretti rehab and 0727102509,help,low,general
nnjuguna forgot password pls reset her account,passwords,medium,ict_support
Kindly reset vigoki,notAbleToReset_Password,medium,ict_support
Please reset Mkirera.,notAbleToReset_Password,medium,ict_support
Hello Nairobi County. Please confirm receipt of 3GB data bundles for October 2017. Note that this is the last support from MEASURE Evaluation PIMA. It was nice working with you. You made CPIMS possible through your participation and active use of the system. Keep up the spirit as you work with the new partners.,greeting,low,general
our MEASURE /PIMA we sincerely have no words to thanks you for your support. Together we gave haven't baby CPMIS walk soon he will run through out the country. Wish you well,thanks,low,general
We have baby CPMIS walk point of correction,help,low,general
Thanks PIMA we really appreciate your support from giving us skills en ensuring we have internet in our office thanks we really appreciate,thanks,low,general
Many thanks. I will miss your great support and dedication. So who resets passwords.,passwords,low,ict_support
Measure has done its part the onus is with us now to keep CPIMS fire burning.,help,low,general
Dagoretti Girls not yet received,genderissues,medium,case_management
Dagoretti Girls has not yet received the bundles,genderissues,medium,case_management
Nairobi Children Rescue Centre we have not received bunndles.,addrescuecentre,low,data_registry
Please check again. Hope Dagoretti SCCO didn't receive twice...,help,low,general
"Thank you, now it's loaded",thanks,low,general
Thank you confirmed we have received.Good day.,thanks,low,general
I confirm receipt of the 3GB bundles for the Makadara Office.,help,low,general
Getathuru have not yet received bundles,thanks,low,general
And reset jkibue account it have be locked out,accountunlocking,medium,ict_support
Please reset japheth lumbasi kabete rehab school,notAbleToReset_Password,medium,ict_support
Am trying to set password in vain. Kindly assist,passwords,medium,ict_support
@254713111570 did you manage to login using the reset password?,notAbleToReset_Password,medium,ict_support
The account is now locked,accountunlocking,medium,ict_support
"Halo, transfer Maureen Nyaga from Nakuru Remand to Nairobi Children Rescue Centre.",addrescuecentre,low,data_registry
Please reset Judy Kibue Getathuru and I have forgotten my password,passwords,medium,ict_support
Am using recent password but it not accepted and be locked out,accountunlocking,medium,ict_support
Morning Judy. Your account has been reset.,notAbleToReset_Password,medium,ict_support
The Presidential Digital Talent Programme (PDTP) 2017/2018 intake is now open,help,low,general
"Good morning team, CPIMS system will be undergoing updates and will be unavailable for the whole day. We will inform you once the system is available tomorrow. Apologies for any inconveniences that may be caused.",upda,medium,data_registry
"Good morning team. The system has now been upgraded to CPIMS Version 2 and is now available. Incase you have any challenges, please send your feedback on this forum. Good day.",ChallengesOfStaff,low,training_admin
Joshua Hii I'd No. Kwa Njia was it really necessary on work force member recorded on paper,Recordassess,low,data_registry
Persons registry imekataa this error,systemerror,low,ict_support
"Invalid literal for int() with base 10:'undefined""",help,low,general
Have tried three times getting the same error,systemerror,high,ict_support
Got same problem but when you search again the child is actually saved in the system,help,low,general
Thanks Margaret for the feedback. I encourage everyone to attempt creating a child and managing the cases. This will enable us pull out any challenges with the upgraded system.@254705037970 try the institutional functionalities and give feedback.,systemfunctions,low,ict_support
But with no details for relatives ebu check engine update also,upda,medium,data_registry
Check Again person details see if it's only my side loyce,help,low,general
Please go to view child and screenshot the details of the child you attempted to enter earlier.,help,low,general
"Not yours only, where there are siblings, they appear n view of person details but parents don't show despite having been attached.",SiblingsInfomation,medium,case_management
This what I was talking about,help,low,general
Something else even the in charge cannot view a child who was created by someone else under them or view a child see which Sub County they were created in,greeting,low,general
For instance Maggie...you are not to view this child..,help,low,general
Try to view Bryton Mutuku Simon created by m,help,low,general
Please go to edit then attach the caregiver again. Check the CPIMS registered caregiver do not create new one.,personregistry,medium,data_registry
After that save go go to view and share feedback.,help,low,general
Other details yes but relative details still non,help,low,general
Gladys is not in cpims registered caregivers do I add again,personregistry,medium,data_registry
A minute I check the logs first.,help,low,general
@254723637563 reset japheth lumbasi,notAbleToReset_Password,medium,ict_support
Management perfect apart from spelling checker that has disappeared,help,low,general
OK though the father was reflected humprey......,help,low,general
Loyce have you succeeded am yet to,help,low,general
Let us check first don't edit for now.,help,low,general
Loyce what was the other name for the mother Gladys ?,help,low,general
Did you use the option of attaching or you created a new one.,help,low,general
Attaching sorry do I create,help,low,general
No. Just a moment.,help,low,general
Hi Loyce please edit for me your child Enoch and attach the mother Gladys then share feedback. Gladys has not been saved so far so just create her a fresh.,greeting,low,general
Also assist m with the child Ibrahim Nyogonyo Odhiambo,help,low,general
Please edit the child and create the parents a fresh. I need feedback from at least one person to be sure it's fixed.,help,low,general
I want one officer to share feedback. Loyce / Maggie ?,help,low,general
"Only the father is showing, but this father is a social worker worker in a cpims compliant cci in Athi River could be the reason he reflects",greeting,low,general
Can you share specific details so that we check on it. Ie child A was created by person B but I person C can not view child A yet we all work for sub county D.,help,low,general
"A child created by Rukia who is a deputy to Margaret, Margaret cannot view details of the child to know when the case was reported or recorded only Rukia can see",Recordassess,low,data_registry
"This case was created by Margret-Embakasi, I am not able to view child details from my end.",help,low,general
Admin add Zainabu 0722326112 Nairobi Children Rescue Centre.,addrescuecentre,low,data_registry
"Morning, kindly add for us thika rescue center to the list of institution for we commit some of our children.",help,low,general
Iko thika hiyo. We can't add a CCI from another station,help,low,general
Sorry sikuona ni CPIMS group nimefikiria ni kasa ccis network,help,low,general
Its the new data center that we will keep on monitoring.,help,low,general
Am still concerned by the fact that I can't view a case that was recorded by someone else because names Cannot confirm a child we might end up with many double registration,Recordassess,low,data_registry
For example if a case is referred to m from kibra if they have registered it's difficult for m to confirm because I can only see the names yet children share names,personregistry,low,data_registry
The limitations on view has been removed. Please confirm if it is OK.,help,low,general
Thanks Newton a minute let's confirm,thanks,low,general
Perfect Newton thanks,thanks,low,general
Kindly reset wnguiku n vigoki,notAbleToReset_Password,medium,ict_support
CPIMS seems to be very slow today Kuna issue,help,low,general
From the system side there is no problem and could be a network issue. Anyone else experiencing this please share your feedback.,help,low,general
I think it was network,help,low,general
Please reset Julius Ngala magodo,notAbleToReset_Password,medium,ict_support
Hi kindly resent penina Westlands,greeting,low,general
Kindly assist with the institutions tool A,sheets,low,data_registry
Kindly reset romolo,notAbleToReset_Password,medium,ict_support
Please send me the institutional register 2017,help,low,general
sccoembakasi@gmail.com,Emailaccess,medium,ict_support
Check your email. I have send.,Emailaccess,medium,ict_support
Joshua pleeese reset penina!,notAbleToReset_Password,medium,ict_support
In the system as a generate a social inquiry some information is missing i.e case history of the child and family background kindly advise,help,low,general
The system is also not generating a referral also advise,help,low,general
Please take a screenshot and share here..,help,low,general
Good morning friends in Kasarani.,greeting,low,general
Please reset cmeres,notAbleToReset_Password,medium,ict_support
My password has refused.,passwords,medium,ict_support
Password has been reset.,passwords,medium,ict_support
I need help I still can't edit a case that was done by my predecessors so what do I do if it doesn't have all the information and I want to update,upda,medium,data_registry
A pastor and his son story- A MUST READ,help,low,general
Happy new year 2018 to the CPIMS team. We are experiencing some challenges with CPIMS and the technical team is working to rectify the situation. We will send an update once the issue has been sorted.Apologies for any inconvenience caused. Joshua Mbai,upda,medium,data_registry
"Good afternoon team, the earlier reported issue with CPIMS has now been fixed. Incase you have any challenges, please communicate through this forum. Regards",ChallengesOfStaff,low,training_admin
Son.vcf (file attached),help,low,general
Hi Joshua. I am unable to register new child data. It's hanging. Your assistance please.,greeting,low,general
Please take a screenshot and sent on this platform..,help,low,general
I restarted my machine. It's working. Thanks.,thanks,low,general
"Missing child of 8 years school at kasarani primary school special unit.she is autistic and cannot speak contact person 0704789000,0753364638",ChildSearch,low,case_management
Morning trust all is well please reset my account Brenta starehe thanks,notAbleToReset_Password,low,ict_support
Morning trust all is well please reset my account Brenta starehe thanks,notAbleToReset_Password,low,ict_support
Hi someone please reset my account. Good day,notAbleToReset_Password,low,ict_support
Kindly Joshua reset the password for Embakasi Sub-county office. Susan officer in charge.,passwords,medium,ict_support
@254721501340 Please coordinate with the County office to have your account created. Thanks,thanks,low,general
Forwarded as received,thanks,low,general
The boy was found and reunited with his parents- from another forum ( missing child Kenya),ChildSearch,low,case_management
Hi team I need help am trying to key in a child and the date paper form filled is active only to Dec 2011,greeting,low,general
Hallo kindly reset my password thanks,passwords,low,ict_support
Aki someone hear our cry. Starehe. Reset bmuli and gmbaya. We'll really appreciate.,notAbleToReset_Password,medium,ict_support
Kindly reset wnguiku,notAbleToReset_Password,medium,ict_support
Please reset Colilo,notAbleToReset_Password,medium,ict_support
"Caro will do it now, sorry was in a meeting",help,low,general
kindly reset japheth lumbasi,notAbleToReset_Password,medium,ict_support
Please reset Colilo.,notAbleToReset_Password,medium,ict_support
Hi guys my computer has crushed.Joshua and the team please come to my rescue,greeting,low,general
Please the IT team I need your assistance. Kindly ignre my csll,help,low,general
Good afternoon team please IT team we need your assistance at westlands children's office. Our computer crushed please HELP,greeting,low,general
Kindly reset jmalova,notAbleToReset_Password,medium,ict_support
kindly reset jlumbasi,notAbleToReset_Password,medium,ict_support
"Hi Ann, Getathuru is in which county",greeting,low,general
Thank you Lilian and team am now in Getathuru reception.,thanks,low,general
Please reset mkirera.,notAbleToReset_Password,medium,ict_support
mkirera has been reset.,notAbleToReset_Password,medium,ict_support
Someone reset my password pls. gmbaya,passwords,medium,ict_support
gmbaya has been reset.,notAbleToReset_Password,medium,ict_support
Please unlock mtsuma,accountunlocking,medium,ict_support
Please reset mkirera.,notAbleToReset_Password,medium,ict_support
Kindly reset jkebenei,notAbleToReset_Password,medium,ict_support
